time,plot,trt,subplot,agunder,canopycov,perweed,domweed,percarb
6mo1yr,1,2,1.1,7,66.8,8,1,5.945
6mo1yr,1,2,1.2,12,64.06,24,1,7.93
6mo1yr,1,2,1.3,11,75.85,69,1,6.74
6mo1yr,1,2,1.4,10,67.09,21,1,7.14
6mo1yr,1,2,1.5,6,65.855,37,1,5.435
6mo1yr,1,2,1.6,5,73.74,44,1,5.66
6mo1yr,2,1,2.1,3,71.525,29,1,4.215
6mo1yr,2,1,2.2,2,66.56,63,4,3.905
6mo1yr,2,1,2.3,9,69.075,65,1,5.16
6mo1yr,2,1,2.4,25,72.02,65,3,5.72
6mo1yr,2,1,2.5,21,68.165,24,1,4.85
6mo1yr,2,1,2.6,27,68.08,74,1,5.235
6mo1yr,3,1,3.1,22,64.725,16,1,2.88
6mo1yr,3,1,3.2,20,69.075,50,1,7.935
6mo1yr,3,1,3.3,9,74.89,22,1,5.6
6mo1yr,3,1,3.4,9,73.88,16,1,3.985
6mo1yr,3,1,3.5,0,72.49,47,1,4.855
6mo1yr,3,1,3.6,8,78.33,42,1,5.025
6mo1yr,4,2,4.1,14,74.345,63,4,7.265
6mo1yr,4,2,4.2,16,74.34,6,1,3.2
6mo1yr,4,2,4.3,25,65.725,9,1,4.085
6mo1yr,4,2,4.4,65,69.015,13,1,5.95
6mo1yr,4,2,4.5,25,59.765,19,1,5.145
6mo1yr,4,2,4.6,2,69.015,82,3,7.265
6mo1yr,5,2,5.1,2,44.415,60,4,3.26
6mo1yr,5,2,5.2,1,46.03,10,1,4.54
6mo1yr,5,2,5.3,35,51.235,8,1,5.335
6mo1yr,5,2,5.4,5,44.925,57,2,3.85
6mo1yr,5,2,5.5,8,50.3,22,1,6.06
6mo1yr,5,2,5.6,14,50.92,13,1,2.93
6mo1yr,6,1,6.1,0,59.365,96,3,6.52
6mo1yr,6,1,6.2,1,65.92,99,3,4.905
6mo1yr,6,1,6.3,4,64.135,83,3,7.625
6mo1yr,6,1,6.4,10,63.625,79,3,7.145
6mo1yr,6,1,6.5,1,73.21,77,3,6.615
6mo1yr,6,1,6.6,1,72.055,97,3,7.005
6mo1yr,7,1,7.1,30,59.635,3,1,7.605
6mo1yr,7,1,7.2,20,60.6,11,1,4.695
6mo1yr,7,1,7.3,12,65.305,73,1,5.495
6mo1yr,7,1,7.4,15,65.935,86,1,3.59
6mo1yr,7,1,7.5,14,68.38,84,4,6.8
6mo1yr,7,1,7.6,15,70.245,82,4,4.715
6mo1yr,8,2,8.1,5,67.815,45,4,4.66
6mo1yr,8,2,8.2,24,67.215,33,1,4.975
6mo1yr,8,2,8.3,5,67.805,85,4,6.07
6mo1yr,8,2,8.4,5,71.39,60,4,5.645
6mo1yr,8,2,8.5,8,75.675,87,4,6.35
6mo1yr,8,2,8.6,20,76.15,90,4,5.515
6mo1yr,9,1,9.1,5,59.275,93,1,3.955
6mo1yr,9,1,9.2,9,64.45,77,1,5.615
6mo1yr,9,1,9.3,14,74.22,7,1,7.335
6mo1yr,9,1,9.4,36,72.535,69,1,4.505
6mo1yr,9,1,9.5,13,73.415,65,4,8.23
6mo1yr,9,1,9.6,4,77.4,15,1,8.425
6mo1yr,10,2,10.1,82,58.055,3,1,5.865
6mo1yr,10,2,10.2,29,53.23,3,1,5.72
6mo1yr,10,2,10.3,54,59.95,11,1,6.22
6mo1yr,10,2,10.4,1,74.92,70,4,7.02
6mo1yr,10,2,10.5,1,70.795,95,4,5.415
6mo1yr,10,2,10.6,5,71.21,92,4,4.215
1yr1.5yr,1,2,1.1,2,77.19,16,1,10.96
1yr1.5yr,1,2,1.2,25,65.64,66,2,6.55
1yr1.5yr,1,2,1.3,2,77.945,89,1,8.69
1yr1.5yr,1,2,1.4,1,71.485,62,1,7.55
1yr1.5yr,1,2,1.5,0,69.615,70,1,7.17
1yr1.5yr,1,2,1.6,30,72.735,74,3,8.12
1yr1.5yr,2,1,2.1,0,76.64,34,1,7.45
1yr1.5yr,2,1,2.2,1,69.92,92,4,8.41
1yr1.5yr,2,1,2.3,1,71.8,77,1,8.25
1yr1.5yr,2,1,2.4,32,74.47,28,1,7.18
1yr1.5yr,2,1,2.5,3,70.435,76,2,7.98
1yr1.5yr,2,1,2.6,49,69.44,67,1,5.79
1yr1.5yr,3,1,3.1,30,67.225,56,1,7.36
1yr1.5yr,3,1,3.2,2,74.595,66,1,6.68
1yr1.5yr,3,1,3.3,5,83.185,89,2,11.86
1yr1.5yr,3,1,3.4,2,82.155,86,2,7.28
1yr1.5yr,3,1,3.5,1,71.975,68,1,8.6
1yr1.5yr,3,1,3.6,2,78.36,34,1,8.65
1yr1.5yr,4,2,4.1,30,76.895,85,4,7.94
1yr1.5yr,4,2,4.2,0,75.51,24,1,11.53
1yr1.5yr,4,2,4.3,29,68.13,11,1,8.82
1yr1.5yr,4,2,4.4,73,72.26,31,1,9.51
1yr1.5yr,4,2,4.5,15,60.415,75,1,9.08
1yr1.5yr,4,2,4.6,0,76.715,93,4,10.35
1yr1.5yr,5,2,5.1,1,46.695,92,4,7.94
1yr1.5yr,5,2,5.2,0,46.925,98,3,10.65
1yr1.5yr,5,2,5.3,41,52.755,24,1,7.25
1yr1.5yr,5,2,5.4,0,47.25,67,1,7.57
1yr1.5yr,5,2,5.5,5,52.385,54,1,7.91
1yr1.5yr,5,2,5.6,10,52.27,76,1,9.63
1yr1.5yr,6,1,6.1,0,62.965,70,1,7.57
1yr1.5yr,6,1,6.2,0,71.42,56,1,8.58
1yr1.5yr,6,1,6.3,0,68.47,82,2,8.35
1yr1.5yr,6,1,6.4,31,66.215,90,2,8.02
1yr1.5yr,6,1,6.5,2,76.565,94,1,7.94
1yr1.5yr,6,1,6.6,0,74.69,99,1,7.91
1yr1.5yr,7,1,7.1,10,61.825,70,4,10.49
1yr1.5yr,7,1,7.2,11,62.745,70,4,9.92
1yr1.5yr,7,1,7.3,5,69.28,33,1,9.7
1yr1.5yr,7,1,7.4,40,68.25,32,1,9.38
1yr1.5yr,7,1,7.5,8,74.69,84,4,9.53
1yr1.5yr,7,1,7.6,0,72.63,85,4,8.6
1yr1.5yr,8,2,8.1,10,67.305,85,4,7.21
1yr1.5yr,8,2,8.2,15,67.47,69,4,7.17
1yr1.5yr,8,2,8.3,8,72.54,73,4,8.75
1yr1.5yr,8,2,8.4,0,74.365,85,4,9.14
1yr1.5yr,8,2,8.5,4,77.68,92,4,11.98
1yr1.5yr,8,2,8.6,10,74.72,80,4,10.71
1yr1.5yr,9,1,9.1,6,55.22,91,4,6.98
1yr1.5yr,9,1,9.2,5,66.32,87,4,7.76
1yr1.5yr,9,1,9.3,3,76.425,59,4,8.52
1yr1.5yr,9,1,9.4,53,75.14,44,1,8.02
1yr1.5yr,9,1,9.5,20,75.435,84,4,9.33
1yr1.5yr,9,1,9.6,2,78.42,76,4,9.36
1yr1.5yr,10,2,10.1,42,63.045,9,1,8.98
1yr1.5yr,10,2,10.2,9,54.64,56,1,6.51
1yr1.5yr,10,2,10.3,25,61.02,38,1,8.36
1yr1.5yr,10,2,10.4,1,75.44,69,4,8.64
1yr1.5yr,10,2,10.5,0,71.085,95,4,9.24
1yr1.5yr,10,2,10.6,10,71.755,80,4,10.11
