year,plot,trt,subplot,percanopcov,rich_weedund,rich_agund,perweed,peragund
2018,1,s,1.1,82.91,5,0,96,0
2018,1,s,1.2,80.33,6,0,93,0
2018,1,s,1.3,80.56,6,0,100,0
2018,1,s,1.4,82.14,6,0,100,0
2018,1,s,1.5,83.93,6,0,91,0
2018,1,s,1.6,78.23,6,0,100,0
2018,2,e,2.1,82.34,6,0,93,0
2018,2,e,2.2,82.19,7,0,75,0
2018,2,e,2.3,84.86,7,0,80,0
2018,2,e,2.4,83.31,6,0,89,0
2018,2,e,2.5,81.55,8,0,90,0
2018,2,e,2.6,83.09,7,0,100,0
2018,3,e,3.1,89.17,2,0,50,0
2018,3,e,3.2,87.75,1,0,40,0
2018,3,e,3.3,83.75,2,0,100,0
2018,3,e,3.4,85.29,2,0,85,0
2018,3,e,3.5,80.02,6,0,100,0
2018,3,e,3.6,85.36,3,0,70,0
2018,4,s,4.1,82.16,5,0,100,0
2018,4,s,4.2,83.57,3,0,36,0
2018,4,s,4.3,78.9,3,0,90,0
2018,4,s,4.4,86.43,3,0,100,0
2018,4,s,4.5,83.28,2,0,80,0
2018,4,s,4.6,84.68,4,0,100,0
2018,5,s,5.1,73.47,5,0,100,0
2018,5,s,5.2,84.53,3,0,90,0
2018,5,s,5.3,86.27,2,0,85,0
2018,5,s,5.4,83.47,5,0,86,0
2018,5,s,5.5,84.05,5,0,95,0
2018,5,s,5.6,83.33,6,0,60,0
2018,6,e,6.1,83.39,4,0,85,0
2018,6,e,6.2,79.31,4,0,95,0
2018,6,e,6.3,79.37,5,0,100,0
2018,6,e,6.4,77.83,4,0,100,0
2018,6,e,6.5,80.61,4,0,85,0
2018,6,e,6.6,80.78,,,,
2018,7,e,7.1,82.82,6,0,100,0
2018,7,e,7.2,81.24,4,0,100,0
2018,7,e,7.3,80.3,4,0,80,0
2018,7,e,7.4,82.1,5,0,100,0
2018,7,e,7.5,81.11,4,0,100,0
2018,7,e,7.6,78.94,5,0,90,0
2018,8,s,8.1,84.48,2,0,75,0
2018,8,s,8.2,85.38,4,0,95,0
2018,8,s,8.3,85.63,3,0,100,0
2018,8,s,8.4,87.55,3,0,80,0
2018,8,s,8.5,87.77,6,0,40,0
2018,8,s,8.6,87.71,3,0,100,0
2018,10,s,10.1,89.7,0,0,0,0
2018,10,s,10.2,91.09,0,0,0,0
2018,10,s,10.3,87.8,0,0,0,0
2018,10,s,10.4,88.55,2,0,2,0
2018,10,s,10.5,87.86,3,0,4,0
2018,10,s,10.6,86.14,4,0,57,0
2020,1,s,1.1,85.65,3,1,3,2
2020,1,s,1.2,68.47,3,1,12,25
2020,1,s,1.3,80.01,4,1,15,2
2020,1,s,1.4,76.05,6,1,50,1
2020,1,s,1.5,75.14,4,0,12,0
2020,1,s,1.6,74.85,4,1,29,30
2020,2,e,2.1,77.72,5,0,73,0
2020,2,e,2.2,72.02,5,1,92,1
2020,2,e,2.3,71.98,3,1,11,1
2020,2,e,2.4,74.65,3,2,7,32
2020,2,e,2.5,71.52,5,1,80,3
2020,2,e,2.6,69.53,6,2,20,49
2020,3,e,3.1,67.16,4,1,20,30
2020,3,e,3.2,74.14,3,1,7,2
2020,3,e,3.3,85.36,3,1,59,5
2020,3,e,3.4,82.48,5,2,38,2
2020,3,e,3.5,72.78,6,1,74,1
2020,3,e,3.6,78.69,7,1,35,2
2020,4,s,4.1,80.31,5,2,28,30
2020,4,s,4.2,77.79,5,0,5,0
2020,4,s,4.3,71.95,7,2,11,29
2020,4,s,4.4,76.5,4,2,6,73
2020,4,s,4.5,63.68,8,2,76,15
2020,4,s,4.6,85.34,3,0,67,0
2020,5,s,5.1,50.4,3,1,99,1
2020,5,s,5.2,49.09,3,0,45,0
2020,5,s,5.3,55.65,6,2,15,41
2020,5,s,5.4,49.62,4,0,46,0
2020,5,s,5.5,55.74,3,1,26,5
2020,5,s,5.6,55.22,3,1,30,10
2020,6,e,6.1,65.11,4,0,34,0
2020,6,e,6.2,69.38,8,0,59,0
2020,6,e,6.3,66.89,5,0,29,0
2020,6,e,6.4,67.56,4,2,22,31
2020,6,e,6.5,77.89,3,1,21,2
2020,6,e,6.6,75.89,5,0,18,0
2020,7,e,7.1,62.71,6,1,90,10
2020,7,e,7.2,65.58,6,2,86,11
2020,7,e,7.3,65.66,4,1,77,5
2020,7,e,7.4,68.06,5,2,57,40
2020,7,e,7.5,77.43,7,2,64,8
2020,7,e,7.6,74.52,5,0,64,0
2020,8,s,8.1,69.27,3,1,77,10
2020,8,s,8.2,68.52,4,1,19,15
2020,8,s,8.3,76.4,2,1,77,8
2020,8,s,8.4,75.66,2,0,98,0
2020,8,s,8.5,77.42,1,2,40,4
2020,8,s,8.6,74.68,3,1,55,10
2020,9,e,9.1,56.64,9,2,88,6
2020,9,e,9.2,69.34,4,2,80,5
2020,9,e,9.3,73.15,4,2,76,3
2020,9,e,9.4,75.01,2,2,7,53
2020,9,e,9.5,76.12,5,1,54,20
2020,9,e,9.6,79.44,1,1,58,2
2020,10,s,10.1,67.03,6,2,10,42
2020,10,s,10.2,56.46,4,2,63,9
2020,10,s,10.3,62.96,3,2,24,25
2020,10,s,10.4,76.87,3,1,92,1
2020,10,s,10.5,71.93,7,0,82,0
2020,10,s,10.6,72.44,3,2,49,10