plot,tag,trt,species,surv1yr
1,1_5,s,pualoalo,1
1,1_6,s,awa,1
1,1_7,s,aweoweo,1
1,1_9,s,pualoalo,1
1,1_11,s,awa,1
1,1_12,s,pualoalo,1
1,1_14,s,koa,1
1,1_15,s,ohia_ahihi,0
1,1_18,s,pualoalo,1
1,1_20,s,pualoalo,1
1,1_22,s,aweoweo,0
1,1_23,s,awa,0
1,1_24,s,pualoalo,1
1,1_25,s,koa,1
1,1_27,s,koa,1
1,1_28,s,aweoweo,1
1,1_29,s,awa,0
1,1_30,s,aweoweo,1
1,1_31,s,pualoalo,1
1,1_34,s,aweoweo,1
1,1_35,s,awa,1
1,1_37,s,pualoalo,1
1,1_38,s,maile,0
1,1_39,s,aweoweo,1
1,1_40,s,ohia_ahihi,0
1,1_42,s,awa,1
1,1_43,s,pualoalo,1
1,1_44,s,aweoweo,1
1,1_46,s,pualoalo,1
1,1_48,s,pualoalo,1
1,1_49,s,aweoweo,1
1,1_50,s,awa,1
1,1_51,s,pualoalo,1
1,1_53,s,aweoweo,1
1,1_54,s,koa,1
1,1_56,s,maile,0
1,1_57,s,pualoalo,1
1,1_58,s,aweoweo,1
1,1_59,s,awa,1
1,1_60,s,pualoalo,1
1,1_61,s,ohia_ahihi,0
1,1_62,s,pualoalo,1
1,1_63,s,awa,0
1,1_64,s,aweoweo,0
1,1_65,s,pualoalo,1
1,1_66,s,maile,0
1,1_67,s,maile,0
1,1_71,s,mamaki,0
1,1_72,s,mamaki,0
1,1_74,s,mamaki,0
1,1_87,s,mamaki,0
1,1_91,s,mamaki,0
1,1_96,s,mamaki,0
2,2_1,e,ohia_poly,0
2,2_3,e,pohinahina,1
2,2_4,e,awa,0
2,2_6,e,ohia_poly,0
2,2_11,e,pohinahina,1
2,2_12,e,pohinahina,0
2,2_14,e,pohinahina,1
2,2_15,e,awa,1
2,2_17,e,pohinahina,0
2,2_18,e,maile,0
2,2_19,e,pohinahina,0
2,2_20,e,awa,1
2,2_21,e,pohinahina,0
2,2_23,e,ohia_poly,1
2,2_25,e,pohinahina,1
2,2_26,e,maile,0
2,2_27,e,pohinahina,1
2,2_29,e,awa,1
2,2_31,e,pohinahina,1
2,2_32,e,pohinahina,0
2,2_34,e,ohia_poly,0
2,2_39,e,pohinahina,1
2,2_40,e,maile,0
2,2_42,e,awa,0
2,2_43,e,ohia_ahihi,0
2,2_44,e,pohinahina,1
2,2_45,e,maile,0
2,2_47,e,pohinahina,1
2,2_48,e,awa,0
2,2_49,e,pohinahina,1
2,2_50,e,pohinahina,1
2,2_52,e,awa,1
2,2_54,e,pohinahina,1
2,2_56,e,ohia_ahihi,0
2,2_58,e,maile,0
2,2_59,e,pohinahina,1
2,2_60,e,aalii,1
2,2_61,e,pohinahina,1
2,2_62,e,ohia_ahihi,0
2,2_65,e,awa,0
2,2_65x,e,pohinahina,1
2,2_66,e,pohinahina,1
2,2_67,e,pohinahina,1
2,2_68,e,pohinahina,1
2,2_69,e,aalii,0
2,2_70,e,pohinahina,1
2,2_71,e,awa,0
2,2_73,e,maile,0
2,2_74,e,pohinahina,1
2,2_75,e,awa,0
2,2_76,e,pohinahina,1
2,2_100,e,iholena,1
2,2_101,e,ohia_ahihi,0
2,2_101x,e,iholena,1
2,2_102,e,iholena,1
2,2_103,e,iholena,1
2,2_104,e,iholena,1
2,2_105,e,iholena,1
2,2_106,e,iholena,0
2,2_107,e,iholena,1
2,2_108,e,iholena,1
2,2_109,e,iholena,1
3,3_5,e,maile,0
3,3_6,e,awa,1
3,3_9,e,aalii,1
3,3_10,e,awa,0
3,3_12,e,aalii,0
3,3_13,e,maile,1
3,3_14,e,pohinahina,1
3,3_17,e,ohia_poly,1
3,3_18,e,pohinahina,1
3,3_19,e,aalii,0
3,3_20,e,aalii,0
3,3_21,e,pohinahina,1
3,3_23,e,awa,0
3,3_24,e,aalii,0
3,3_25,e,awa,1
3,3_27,e,pohinahina,1
3,3_28,e,awa,1
3,3_29,e,maile,1
3,3_30,e,pohinahina,1
3,3_31,e,pohinahina,1
3,3_33,e,awa,1
3,3_34,e,ohia_poly,0
3,3_35,e,pohinahina,0
3,3_36,e,ohia_ahihi,0
3,3_37,e,maile,0
3,3_38,e,ohia_ahihi,0
3,3_41,e,pohinahina,1
3,3_42,e,aalii,0
3,3_44,e,pohinahina,1
3,3_46,e,maile,0
3,3_47,e,pohinahina,1
3,3_49,e,pohinahina,1
3,3_50,e,maile,0
3,3_51,e,pohinahina,1
3,3_52,e,pohinahina,1
3,3_53,e,maile,0
3,3_55,e,awa,0
3,3_56,e,pohinahina,1
3,3_57,e,pohinahina,1
3,3_58,e,pohinahina,1
3,3_59,e,pohinahina,1
3,3_60,e,awa,1
3,3_61,e,ohia_poly,0
3,3_62,e,maile,0
3,3_63,e,pohinahina,1
3,3_64,e,awa,1
3,3_66,e,pohinahina,1
3,3_67,e,pohinahina,1
3,3_68,e,pohinahina,1
3,3_70,e,pohinahina,1
3,3_71,e,pohinahina,1
3,3_73,e,pohinahina,1
3,3_74,e,pohinahina,1
3,3_78,e,pohinahina,1
3,3_81,e,ohia_poly,1
3,3_100,e,ohia_ahihi,0
3,3_100x,e,iholena,1
3,3_101,e,iholena,1
3,3_102,e,iholena,1
3,3_103,e,iholena,1
3,3_104,e,iholena,1
3,3_105,e,iholena,1
3,3_106,e,iholena,1
3,3_107,e,iholena,1
3,3_108,e,iholena,1
3,3_109,e,iholena,1
4,4_1,s,pualoalo,1
4,4_2,s,awa,1
4,4_4,s,aweoweo,1
4,4_5,s,koa,1
4,4_6,s,aweoweo,1
4,4_7,s,koa,1
4,4_8,s,pualoalo,1
4,4_9,s,pualoalo,1
4,4_10,s,aweoweo,1
4,4_11,s,pualoalo,1
4,4_12,s,maile,1
4,4_13,s,aweoweo,0
4,4_14,s,ohia_ahihi,1
4,4_15,s,aweoweo,1
4,4_18,s,maile,0
4,4_19,s,maile,0
4,4_20,s,ohia_poly,0
4,4_21,s,koa,1
4,4_22,s,aweoweo,1
4,4_23,s,awa,0
4,4_24,s,pualoalo,1
4,4_25,s,maile,0
4,4_26,s,aweoweo,0
4,4_27,s,pualoalo,1
4,4_28,s,awa,0
4,4_29,s,aweoweo,1
4,4_31,s,pualoalo,1
4,4_32,s,ohia_ahihi,0
4,4_34,s,pualoalo,0
4,4_35,s,aweoweo,1
4,4_36,s,pualoalo,1
4,4_39,s,koa,1
4,4_40,s,aweoweo,1
4,4_41,s,pualoalo,0
4,4_42,s,maile,0
4,4_43,s,pualoalo,1
4,4_45,s,awa,0
4,4_46,s,maile,1
4,4_47,s,aweoweo,1
4,4_48,s,awa,0
4,4_49,s,pualoalo,0
4,4_50,s,awa,1
4,4_52,s,maile,0
4,4_53,s,pualoalo,1
4,4_54,s,ohia_ahihi,0
4,4_55,s,aweoweo,1
4,4_56,s,awa,1
4,4_57,s,pualoalo,1
4,4_58,s,aweoweo,1
4,4_59,s,maile,1
4,4_60,s,pualoalo,1
4,4_62,s,pualoalo,1
4,4_63,s,maile,0
4,4_64,s,aweoweo,1
4,4_65,s,awa,0
4,4_66,s,pualoalo,1
4,4_67,s,ohia_ahihi,0
4,4_71,s,mamaki,0
4,4_73,s,mamaki,0
4,4_75,s,mamaki,0
4,4_76,s,mamaki,0
4,4_78,s,mamaki,0
4,4_80,s,mamaki,0
4,4_84,s,mamaki,0
4,4_89,s,mamaki,0
4,4_91,s,mamaki,0
4,4_92,s,mamaki,0
4,4_97,s,mamaki,0
5,5_2,s,awa,0
5,5_3,s,pualoalo,1
5,5_5,s,maile,0
5,5_6,s,koa,1
5,5_7,s,awa,0
5,5_8,s,awa,0
5,5_9,s,aweoweo,0
5,5_10,s,aweoweo,0
5,5_11,s,pualoalo,1
5,5_12,s,pualoalo,1
5,5_13,s,aweoweo,1
5,5_14,s,aweoweo,0
5,5_15,s,aweoweo,1
5,5_16,s,pualoalo,1
5,5_17,s,pualoalo,0
5,5_18,s,maile,0
5,5_20,s,pualoalo,0
5,5_21,s,koa,0
5,5_22,s,pualoalo,1
5,5_23,s,awa,0
5,5_24,s,pualoalo,1
5,5_25,s,aweoweo,1
5,5_28,s,aweoweo,1
5,5_29,s,pualoalo,1
5,5_30,s,maile,0
5,5_34,s,maile,0
5,5_35,s,pualoalo,1
5,5_36,s,aweoweo,1
5,5_37,s,aweoweo,1
5,5_38,s,koa,1
5,5_40,s,aweoweo,0
5,5_46,s,pualoalo,1
5,5_50,s,pualoalo,1
5,5_51,s,maile,0
5,5_54,s,pualoalo,0
5,5_56,s,awa,0
5,5_57,s,ohia_poly,0
5,5_58,s,pualoalo,1
5,5_59,s,aweoweo,1
5,5_60,s,pualoalo,1
5,5_61,s,pualoalo,1
5,5_64,s,pualoalo,1
5,5_65,s,awa,0
5,5_66,s,ohia_ahihi,0
5,5_67,s,ohia_poly,0
5,5_68,s,koa,1
5,5_69,s,ohia_ahihi,0
5,5_70,s,maile,0
5,5_71,s,maile,0
5,5_72,s,mamaki,0
5,5_76,s,mamaki,0
5,5_84,s,mamaki,0
5,5_90,s,mamaki,0
5,5_91,s,mamaki,0
6,6_1,e,ohia_ahihi,0
6,6_4,e,pohinahina,0
6,6_5,e,pohinahina,0
6,6_6,e,awa,0
6,6_7,e,ohia_ahihi,0
6,6_11,e,pohinahina,1
6,6_14,e,awa,0
6,6_16,e,pohinahina,1
6,6_18,e,pohinahina,1
6,6_22,e,awa,0
6,6_23,e,pohinahina,1
6,6_24,e,awa,0
6,6_26,e,pohinahina,1
6,6_28,e,pohinahina,1
6,6_30,e,pohinahina,1
6,6_31,e,ohia_ahihi,1
6,6_33,e,pohinahina,1
6,6_35,e,maile,0
6,6_36,e,maile,0
6,6_37,e,pohinahina,1
6,6_38,e,pohinahina,0
6,6_39,e,pohinahina,1
6,6_42,e,awa,1
6,6_43,e,pohinahina,0
6,6_45,e,awa,0
6,6_47,e,pohinahina,1
6,6_48,e,pohinahina,0
6,6_49,e,pohinahina,1
6,6_50,e,awa,1
6,6_52,e,pohinahina,0
6,6_56,e,maile,0
6,6_57,e,pohinahina,1
6,6_59,e,awa,0
6,6_62,e,pohinahina,1
6,6_65,e,pohinahina,1
6,6_66,e,pohinahina,1
6,6_67,e,awa,0
6,6_68,e,pohinahina,1
6,6_69,e,pohinahina,1
6,6_72,e,pohinahina,1
6,6_75,e,pohinahina,1
6,6_79,e,pohinahina,1
6,6_90,e,maile,0
6,6_91,e,maile,0
6,6_92,e,maile,0
6,6_100,e,maile,0
6,6_100x,e,iholena,1
6,6_101,e,iholena,1
6,6_102,e,iholena,1
6,6_103,e,iholena,1
6,6_104,e,iholena,1
6,6_105,e,iholena,1
6,6_106,e,iholena,1
6,6_107,e,iholena,1
6,6_108,e,iholena,1
6,6_109,e,iholena,1
7,7_1,e,pohinahina,1
7,7_4,e,pohinahina,1
7,7_6,e,pohinahina,1
7,7_8,e,pohinahina,1
7,7_10,e,awa,0
7,7_12,e,pohinahina,1
7,7_13,e,awa,0
7,7_16,e,awa,1
7,7_17,e,pohinahina,1
7,7_19,e,pohinahina,1
7,7_20,e,maile,0
7,7_21,e,pohinahina,1
7,7_23,e,ohia_ahihi,0
7,7_24,e,pohinahina,1
7,7_25,e,pohinahina,1
7,7_29,e,pohinahina,1
7,7_32,e,pohinahina,1
7,7_33,e,maile,0
7,7_34,e,awa,0
7,7_36,e,pohinahina,1
7,7_37,e,pohinahina,1
7,7_38,e,aalii,0
7,7_41,e,pohinahina,1
7,7_42,e,pohinahina,1
7,7_43,e,ohia_ahihi,1
7,7_46,e,ohia_poly,0
7,7_47,e,maile,0
7,7_48,e,pohinahina,1
7,7_49,e,awa,0
7,7_50,e,pohinahina,1
7,7_55,e,pohinahina,1
7,7_56,e,pohinahina,1
7,7_58,e,awa,0
7,7_59,e,pohinahina,1
7,7_60,e,ohia_poly,0
7,7_61,e,awa,0
7,7_62,e,aalii,0
7,7_63,e,pohinahina,1
7,7_64,e,iholena,0
7,7_65,e,pohinahina,0
7,7_68,e,pohinahina,1
7,7_70,e,pohinahina,1
7,7_71,e,awa,0
7,7_73,e,pohinahina,1
7,7_82,e,maile,0
7,7_90,e,maile,0
7,7_92,e,maile,0
7,7_93,e,ohia_ahihi,0
7,7_95,e,ohia_ahihi,0
7,7_96,e,iholena,1
7,7_97,e,iholena,1
7,7_98,e,iholena,1
7,7_100,e,iholena,1
7,7_101,e,iholena,1
7,7_102,e,iholena,1
7,7_103,e,iholena,1
7,7_104,e,iholena,1
7,7_105,e,iholena,1
8,8_1,s,koa,1
8,8_2,s,aweoweo,1
8,8_3,s,pualoalo,1
8,8_6,s,pualoalo,1
8,8_7,s,aweoweo,1
8,8_8,s,awa,1
8,8_9,s,pualoalo,1
8,8_10,s,ohia_ahihi,0
8,8_11,s,pualoalo,1
8,8_13,s,aweoweo,1
8,8_14,s,pualoalo,1
8,8_15,s,awa,0
8,8_18,s,pualoalo,1
8,8_21,s,pualoalo,1
8,8_22,s,awa,1
8,8_24,s,koa,1
8,8_25,s,pualoalo,1
8,8_27,s,awa,1
8,8_28,s,pualoalo,1
8,8_29,s,aweoweo,1
8,8_30,s,maile,1
8,8_31,s,pualoalo,1
8,8_32,s,awa,1
8,8_36,s,pualoalo,1
8,8_37,s,awa,1
8,8_38,s,maile,1
8,8_39,s,aweoweo,1
8,8_40,s,pualoalo,1
8,8_41,s,aweoweo,1
8,8_42,s,koa,1
8,8_44,s,maile,0
8,8_46,s,awa,0
8,8_47,s,pualoalo,1
8,8_48,s,aweoweo,1
8,8_49,s,ohia_ahihi,0
8,8_50,s,pualoalo,1
8,8_51,s,aweoweo,1
8,8_52,s,maile,0
8,8_53,s,pualoalo,1
8,8_55,s,awa,1
8,8_56,s,pualoalo,1
8,8_57,s,maile,0
8,8_58,s,aweoweo,1
8,8_59,s,koa,1
8,8_62,s,maile,0
8,8_63,s,maile,0
8,8_64,s,ohia_ahihi,0
8,8_65,s,maile,0
8,8_67,s,mamaki,0
8,8_69,s,mamaki,0
8,8_72,s,mamaki,0
8,8_76,s,mamaki,0
8,8_77,s,mamaki,0
8,8_79,s,mamaki,0
8,8_85,s,aweoweo,1
8,8_91,s,mamaki,0
8,8_92,s,mamaki,0
8,8_98,s,mamaki,0
9,9_1,e,ohia_ahihi,0
9,9_2,e,aalii,0
9,9_5,e,pohinahina,1
9,9_7,e,pohinahina,1
9,9_11,e,pohinahina,1
9,9_12,e,pohinahina,1
9,9_16,e,pohinahina,1
9,9_18,e,awa,1
9,9_19,e,pohinahina,1
9,9_21,e,pohinahina,1
9,9_23,e,ohia_ahihi,0
9,9_25,e,pohinahina,1
9,9_26,e,awa,0
9,9_27,e,pohinahina,1
9,9_29,e,maile,1
9,9_30,e,pohinahina,1
9,9_33,e,pohinahina,1
9,9_34,e,awa,1
9,9_35,e,aalii,0
9,9_36,e,pohinahina,0
9,9_37,e,pohinahina,1
9,9_39,e,maile,0
9,9_40,e,awa,1
9,9_42,e,pohinahina,0
9,9_43,e,pohinahina,1
9,9_47,e,pohinahina,0
9,9_49,e,awa,0
9,9_50,e,pohinahina,1
9,9_51,e,pohinahina,0
9,9_55,e,maile,0
9,9_56,e,pohinahina,1
9,9_57,e,pohinahina,1
9,9_58,e,aalii,1
9,9_59,e,awa,0
9,9_60,e,pohinahina,1
9,9_61,e,ohia_poly,1
9,9_65,e,aalii,1
9,9_66,e,awa,0
9,9_67,e,pohinahina,0
9,9_68,e,pohinahina,0
9,9_71,e,pohinahina,1
9,9_72,e,awa,0
9,9_73,e,pohinahina,0
9,9_74,e,ohia_ahihi,0
9,9_82,e,aalii,1
9,9_90,e,maile,0
9,9_91,e,maile,0
9,9_92,e,ohia_ahihi,0
9,9_85,e,iholena,1
9,9_100,e,iholena,1
9,9_101,e,iholena,1
9,9_102,e,iholena,1
9,9_103,e,iholena,1
9,9_104,e,iholena,1
9,9_105,e,iholena,1
9,9_106,e,iholena,1
9,9_107,e,iholena,1
10,10_3,s,pualoalo,1
10,10_5,s,ohia_ahihi,0
10,10_6,s,maile,0
10,10_7,s,maile,0
10,10_8,s,awa,0
10,10_9,s,mamaki,0
10,10_11,s,koa,1
10,10_12,s,pualoalo,0
10,10_13,s,awa,0
10,10_14,s,pualoalo,1
10,10_15,s,pualoalo,1
10,10_16,s,awa,0
10,10_19,s,maile,0
10,10_20,s,mamaki,0
10,10_21,s,mamaki,0
10,10_22,s,awa,0
10,10_23,s,mamaki,0
10,10_25,s,pualoalo,1
10,10_27,s,mamaki,1
10,10_29,s,koa,1
10,10_31,s,mamaki,0
10,10_32,s,mamaki,0
10,10_35,s,pualoalo,1
10,10_36,s,mamaki,0
10,10_41,s,aweoweo,1
10,10_42,s,mamaki,0
10,10_46,s,ohia_ahihi,0
10,10_48,s,pualoalo,1
10,10_50,s,aweoweo,1
10,10_52,s,pualoalo,1
10,10_53,s,aweoweo,1
10,10_54,s,aweoweo,1
10,10_55,s,maile,0
10,10_57,s,koa,1
10,10_58,s,pualoalo,1
10,10_59,s,awa,0
10,10_62,s,maile,0
10,10_63,s,mamaki,0
10,10_64,s,pualoalo,1
10,10_67,s,awa,1
10,10_68,s,pualoalo,1
10,10_70,s,aweoweo,1
10,10_74,s,aweoweo,1
10,10_76,s,awa,1
10,10_77,s,pualoalo,1
10,10_78,s,mamaki,0
10,10_79,s,pualoalo,1
10,10_81,s,ohia_ahihi,0
10,10_84,s,koa,1
10,10_87,s,pualoalo,0
10,10_89,s,aweoweo,0
10,10_90,s,pualoalo,0
10,10_91,s,ohia_ahihi,0
10,10_92,s,awa,1
10,10_93,s,maile,0
10,10_95,s,ohia_poly,0
10,10_96,s,pualoalo,0
10,10_97,s,awa,1
10,10_98,s,aweoweo,0
10,10_99,s,pualoalo,1
